a,b,hedge_ratio,total_pnl,sharpe,max_drawdown,n_trades
AMRP,MMBT,-0.07123476301831916,28.44615278526452,2.707531809790818,2.394478194946899,34
EORC,NGTE,0.5974521356826559,41.0495637765232,2.455892137117696,3.7089427097974195,38
MHRM,EAFC,0.44957135963626776,15.474276383191672,2.3823382584984443,1.8121482736286723,36
RTTH,CCNS,1.1629096384970161,48.21805072215142,2.3069632710401984,6.735860963944649,32
FWWG,EAFC,0.4834691390953752,21.159181414959033,2.142724269956842,2.2066507443958674,38
HETT,ULXY,0.942282591634547,47.49238457343955,2.083149218232011,9.563831380985008,30
RTTH,BENI,1.8105015010436503,42.13803429298484,2.0744109998652664,4.721551651148019,30
SMAH,ILVX,1.3959846951142545,34.68587549186973,1.987949065631557,4.772648210390095,30
AENO,NWIG,0.9048421389014292,82.80293175545816,1.9406427479687434,10.593415170439428,33
RTTH,SRTX,0.08176502293167556,38.30371086002728,1.939497696318824,8.153413096313034,32
ACIX,ITPA,0.8240458537443172,10.663687395734426,1.8871928676476488,1.8014656780968146,36
RTTH,MTNS,1.676946454195588,39.30402431236338,1.837994652648912,6.255581475719879,34
RTTH,AGVF,0.16620158249193784,36.2707880026981,1.8261691885288038,5.319230945790558,32
RTTH,FARS,0.3763229980012692,34.96507253177886,1.7951463589835004,5.828702529513958,30
CUBO,FWWG,-4.895906618422859,114.19110167857468,1.7869456950990315,27.147614324739664,32
BLBT,EAFC,0.6999624789255625,19.121539991627376,1.7566543449011554,4.421787630718683,35
RTTH,ACAC,0.30348710182544164,32.518330896072456,1.7366948334929064,4.781131501833997,28
AENO,EAFC,3.1657423624449503,82.33503259558282,1.7256499216158594,13.991312026155356,33
ALUT,CCNS,0.60461097513686,12.3139656897924,1.713927271203324,2.788904998061126,34
RTTH,FCSG,-0.484829645766994,38.69771451108819,1.7073033876851904,6.528990308395748,28
BLBT,MHRM,1.4613310560522066,18.92630476498924,1.6681621956776282,2.6346402732737424,30
HUXZ,ACAC,1.1308155893385963,47.385119353050264,1.6490114958831368,12.578177585468907,28
NWIG,EAFC,3.382636159102911,98.42308141103968,1.6340476399715065,18.34128495139315,37
CTGI,EELT,0.9392114583999892,115.28566794273515,1.6245979508288806,21.58614477102398,31
DUCT,NWIG,0.15264396084027715,13.183501522209045,1.5871155018922969,2.3539670641648627,36
RTTH,BLBT,0.6383800495593414,29.26272897769829,1.5254145747850554,6.301581327147769,32
CUBO,NWIG,-0.7430430450296845,94.65202211996356,1.5139826962011662,19.11942945386511,39
AMRP,ILVX,-0.3395418718381642,16.16821482613918,1.4554610230719598,6.25906871922427,37
AMRP,SMAH,-0.24039707463505516,14.389995826989324,1.444318407138432,5.779810027998039,29
MTNS,ULXY,0.08966989653847389,8.983294465372888,1.4100171816764218,2.959397273776938,34
NAYO,BENI,1.092176165885166,28.30044974084401,1.4095110465440173,7.977126942877998,33
FWWG,MHRM,1.0044987220113435,12.352705709022466,1.4055826460142882,3.023958875369983,26
RCRI,BENI,2.9559369702515665,43.12090036979237,1.3927794535486848,13.540097357071083,35
RTTH,NAYO,0.9170767068439845,29.803345927846905,1.3515907496131991,11.639396582474223,29
MTNS,FARS,0.09440885275780522,7.20948631253709,1.3365593975348329,2.3845282475300387,26
DIHO,AETS,0.13655844791310684,6.338798869697334,1.3293272249245645,1.8298591011401033,35
MTNS,FCSG,-0.09981945172380391,8.388591723445664,1.3276233775521487,2.954864588792855,28
BENI,ITPA,-0.5006805064481226,7.217715220728039,1.320731569210078,2.936013954607702,25
FWWG,BLBT,0.6621535612583829,11.201303014272117,1.298133800441868,3.9659382051325345,30
AGVF,FWWG,5.22613136699381,66.81638388657295,1.2934234481317812,14.067036460588852,32
MDGI,HTRK,28.64794852439097,163.358770782565,1.2923625393842395,36.146738531219256,33
MTNS,ILVX,-0.03877512428917908,8.858470796344498,1.275300562108123,3.201527312672482,34
BENI,FCSG,-0.21004000706943687,6.89703371197988,1.147692558645364,2.143064393708201,25
RTTH,SPLZ,0.2268070832917135,20.709108696769384,1.1314425754695248,5.107527045815434,26
SRTX,MHRM,10.957184215513708,142.91276398781588,1.1275982477085615,64.86519579585757,28
MTNS,BENI,0.5898583613471122,6.220112215145829,1.1122715177146112,2.0270022693295093,28
RTTH,ALUT,1.6402661646045924,22.966881407207904,1.1121445926610203,6.008053232920922,26
CUBO,EAFC,-2.713977748083254,59.127625188828205,1.1086946546420522,18.56223505112817,26
MTNS,NGTE,0.007939058789239905,6.125490806862349,1.046494321301317,2.787983094558271,28
ALGO,EORC,0.6943635957337139,16.853699486031473,1.035556363391146,5.509401936414889,28
DUCT,CUBO,-0.17188379680031998,11.07287748952804,1.0110032572432195,3.6433402765301466,31
MTNS,BLBT,0.13440564168347924,5.732055740761041,1.0082283644254977,2.7830560787979195,28
BENI,HTRK,-0.36637920806127366,5.4699567625602725,0.9693417158954987,2.6615085644336993,26
RRES,FWWG,-2.236037677245339,30.871473097908748,0.9622913244529814,13.14139045644879,30
NAYO,FCSG,-0.2782896846432558,18.94006627467948,0.8935395887138874,12.88992966311455,31
MTNS,FWWG,0.17206194759812873,5.1186207086461675,0.8812063789637085,2.7086207086461656,28
MTNS,HRND,0.014810409698707928,5.053868262956087,0.8811358250999003,2.869413530518795,28
NAYO,NGTE,0.0908354874262621,17.10129698126361,0.8800595040476521,12.634778129447344,29
OTCS,FARS,-0.5972255373573946,10.3946279882041,0.8734484152911139,6.193468078303255,26
MTNS,HTRK,-0.15967867124072088,5.3302409965694615,0.8695810460223076,3.07758227261294,28
MTNS,AETS,0.040432978269741335,5.402632867486231,0.8645026406310933,2.9571187439277686,32
MTNS,IHOZ,0.022803094334541422,4.794438172052203,0.8577117029811044,2.760989846001861,28
NAYO,EAFC,0.2913042510933026,17.823694525236984,0.8437720904781654,10.483043845845444,33
SRTX,EAFC,5.068452841877024,94.5566981570388,0.8041053237112455,57.7369955087502,28
MTNS,NAYO,0.1573001555077326,5.195771446051353,0.8021366203003515,2.5467524728287874,26
RCRI,FCSG,-0.8820632411590795,30.61291336053933,0.7948076225242888,28.568942450677717,30
NAYO,FWWG,0.5510740061839265,15.636045394655907,0.7928963853085773,13.004143143550753,29
NAYO,HRND,0.19416967721646355,15.10200921817199,0.7846890305659654,10.235846020184663,27
NAYO,BLBT,0.39898647065808535,16.547472964742184,0.7841207669839777,11.524959505678385,33
AENO,CUBO,-1.0156133495836392,48.98825181027999,0.7724960037116388,20.429077663457832,31
BENI,ILVX,-0.10187530622026612,3.968459309184837,0.7578689693201566,3.052083059761774,22
NAYO,FARS,0.18608571301729088,13.99353629168856,0.7397707224400805,11.458382285384499,27
HRET,EELT,0.31141316806399943,21.10786624803966,0.6446016571990298,12.032386670651523,29
RRES,MHRM,-2.6224539147928168,17.756903310555074,0.6305209364138129,14.787863706674443,25
MTNS,ITPA,-0.15006132353054494,4.205289660290223,0.6290945625847153,3.3151778382385793,28
MTNS,EELT,-0.0241075202791885,4.006838296868526,0.5884708777675477,3.0821604349933978,30
EELT,AETS,0.7668053360797581,38.58025620520394,0.5784369077477813,37.99376617543379,33
NAYO,MHRM,0.5758279067954057,11.34414888396211,0.5611600126866798,10.929052930330474,31
MTNS,MHRM,0.1838509780091037,2.9581491711802084,0.4970037396440517,2.7899130207755416,24
MSDP,ALUT,1.9680633619203567,6.066188043225292,0.4457046190307358,9.5437506373901,27
AMRP,ITPA,-1.083460252895657,5.511504737818015,0.43137835222172954,5.260060921389915,29
DIHO,SPLZ,0.04807622926167996,1.9111636428250733,0.41115167630453736,3.7515332440478346,28
MTNS,EAFC,0.09037598526479251,2.0981821097529387,0.37963344372396,2.542921710501881,22
BENI,NGTE,-0.012363380404904001,1.6395825647713593,0.3521089774199289,3.0784322554987114,18
NPCK,BLBT,0.5069828738652347,1.974355739416934,0.3358630366261346,5.553920965049867,28
ELLT,HTRK,11.979303439143877,15.177985981462129,0.2864139953204275,23.35123178040999,33
CUBO,MHRM,-5.643885520205592,15.433311375061948,0.25829234262584955,20.820253262079063,21
AMRP,FCSG,-0.49770731046406014,2.794906355606919,0.24179016784175159,5.705368767137401,23
AETS,NGTE,0.29848984840899295,1.9904388387127572,0.10608598838400651,16.50751775845568,22
RCRI,FARS,0.5799880934289673,1.7614020241170714,0.06057998062551672,32.80860392916844,25
BENI,FARS,0.1600688825304303,0.20318415701800419,0.039882409900849,4.404389186296928,18
HUXZ,BLBT,2.250979496921561,-8.571184527706016,-0.26688665814204476,25.965492031310816,24
